ES1, SW1

SW1,SW2
0	76	Flow0	0
2500	2576	Flow0	1
5000	5076	Flow0	2
7500	7576	Flow0	3
10000	10076	Flow0	4
12500	12576	Flow0	5
76	176	Flow1	0
2576	2676	Flow1	1
5076	5176	Flow1	2
7576	7676	Flow1	3
10076	10176	Flow1	4
12576	12676	Flow1	5
176	236	Flow4	0
2676	2736	Flow4	1
5176	5236	Flow4	2
7676	7736	Flow4	3
10176	10236	Flow4	4
12676	12736	Flow4	5
276	339	Flow5	0
2776	2839	Flow5	1
5276	5339	Flow5	2
7776	7839	Flow5	3
10276	10339	Flow5	4
12776	12839	Flow5	5

SW1,ES2
0	68	Flow2	0
2500	2568	Flow2	1
5000	5068	Flow2	2
7500	7568	Flow2	3
10000	10068	Flow2	4
12500	12568	Flow2	5
87	174	Flow7	0
2587	2674	Flow7	1
5087	5174	Flow7	2
7587	7674	Flow7	3
10087	10174	Flow7	4
12587	12674	Flow7	5
174	254	Flow8	0
2674	2754	Flow8	1
5174	5254	Flow8	2
7674	7754	Flow8	3
10174	10254	Flow8	4
12674	12754	Flow8	5

ES2, SW1

SW1,ES1
0	46	Flow3	0
1000	1046	Flow3	1
2000	2046	Flow3	2
3000	3046	Flow3	3
4000	4046	Flow3	4
5000	5046	Flow3	5
6000	6046	Flow3	6
7000	7046	Flow3	7
8000	8046	Flow3	8
9000	9046	Flow3	9
10000	10046	Flow3	10
11000	11046	Flow3	11
12000	12046	Flow3	12
13000	13046	Flow3	13
14000	14046	Flow3	14
230	293	Flow6	0
1730	1793	Flow6	1
3230	3293	Flow6	2
4730	4793	Flow6	3
6230	6293	Flow6	4
7730	7793	Flow6	5
9230	9293	Flow6	6
10730	10793	Flow6	7
12230	12293	Flow6	8
13730	13793	Flow6	9

SW2,ES3
76	152	Flow0	0
2576	2652	Flow0	1
5076	5152	Flow0	2
7576	7652	Flow0	3
10076	10152	Flow0	4
12576	12652	Flow0	5
176	276	Flow1	0
2676	2776	Flow1	1
5176	5276	Flow1	2
7676	7776	Flow1	3
10176	10276	Flow1	4
12676	12776	Flow1	5
276	336	Flow4	0
2776	2836	Flow4	1
5276	5336	Flow4	2
7776	7836	Flow4	3
10276	10336	Flow4	4
12776	12836	Flow4	5
339	402	Flow5	0
2839	2902	Flow5	1
5339	5402	Flow5	2
7839	7902	Flow5	3
10339	10402	Flow5	4
12839	12902	Flow5	5

ES3, SW2

SW2,SW1
167	230	Flow6	0
1667	1730	Flow6	1
3167	3230	Flow6	2
4667	4730	Flow6	3
6167	6230	Flow6	4
7667	7730	Flow6	5
9167	9230	Flow6	6
10667	10730	Flow6	7
12167	12230	Flow6	8
13667	13730	Flow6	9
0	87	Flow7	0
2500	2587	Flow7	1
5000	5087	Flow7	2
7500	7587	Flow7	3
10000	10087	Flow7	4
12500	12587	Flow7	5
87	167	Flow8	0
2587	2667	Flow8	1
5087	5167	Flow8	2
7587	7667	Flow8	3
10087	10167	Flow8	4
12587	12667	Flow8	5
#
